doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
dinh-huong-nghien-cuu-khoa-hoc,data\university_services_retrieval\dinh-huong-nghien-cuu-khoa-hoc.md,DinhHuongNCKH,https://cdnportal.vnu.edu.vn/data/upload/2022/02/30316/Signed_Signed_286.pdf,2026-08-03,not-stated,public-source
quy-che-dao-tao-dai-hoc-hust,data\university_services_retrieval\quy-che-dao-tao-dai-hoc-hust.md,QuyCheDaoTaoDaiHocHUST,https://ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/QCDT_2025_5445_QD-DHBK.pdf,2026-08-03,not-stated,public-source
quy-che-dao-tao-dai-hoc-uet-66,data\university_services_retrieval\quy-che-dao-tao-dai-hoc-uet-66.md,QuyCheDaoTaoDaiHocUET66,https://cdnportal.vnu.edu.vn/data/upload/vanban/2014/12/29/Final_QC-dH-_2014_Ban-hanh-25-12-2014.pdf,2026-08-03,not-stated,public-source
quy-dinh-dau-ra-ngoai-ngu,data\university_services_retrieval\quy-dinh-dau-ra-ngoai-ngu.md,QuyDinhDauRaNgoaiNgu,https://ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,2026-08-03,not-stated,public-source
thi-dua-khen-thuong-uet-2023,data\university_services_retrieval\thi-dua-khen-thuong-uet-2023.md,ThiDuaKhenThuongUET2023,https://handbook.uet.vnu.edu.vn/Quy%20dinh%20khen%20thuong%20tai%20Truong%20DHCN%202023.pdf,2026-08-03,not-stated,public-source
