doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
vinuni-registrar-services,data/vinuni-services-sample/registrar-services.md,Dich vu cua Office of the University Registrar,https://registrar.vinuni.edu.vn/,2026-08-03,not-stated,public-page
vinuni-academic-forms,data/vinuni-services-sample/academic-forms.md,Bieu mau va yeu cau hoc vu VinUni,https://registrar.vinuni.edu.vn/academics/forms-petitions/,2026-08-03,not-stated,public-page
vinuni-library-services,data/vinuni-services-sample/library-services.md,Dich vu thu vien VinUni,https://library.vinuni.edu.vn/,2026-08-03,not-stated,public-page
vinuni-campus-services,data/vinuni-services-sample/campus-services.md,Dich vu khuon vien y te va tham van VinUni,https://vinuni.edu.vn/vi/campus-services-vi/,2026-08-03,not-stated,public-page
vinuni-undergraduate-tuition-2026,data/vinuni-services-sample/undergraduate-tuition.md,Hoc phi chuong trinh dai hoc VinUni nam hoc 2026-2027,https://admissions.vinuni.edu.vn/tuition-fee/undergraduate/,2026-08-03,2026-2027,public-page
vinuni-course-registration,data/vinuni-services-sample/course-registration.md,Huong dan thoi khoa bieu va dang ky hoc phan VinUni,https://registrar.vinuni.edu.vn/vi/hoc-thuat-dich-vu/thoi-khoa-bieu-dang-ky-hoc-phan/,2026-08-03,not-stated,public-page
vinuni-library-undergraduate-services,data/vinuni-services-sample/library-undergraduate-services.md,Dich vu thu vien cho sinh vien dai hoc VinUni,https://library.vinuni.edu.vn/services/borrow-and-request/undergraduate-and-staff/,2026-08-03,not-stated,public-page
vinuni-student-activities-work-study,data/vinuni-services-sample/student-activities-work-study.md,Hoat dong sinh vien va chuong trinh Work-study VinUni,https://vinuni.edu.vn/student_life/student-activities-and-events/,2026-08-03,not-stated,public-page
