doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
library-access-policy,data/university-academic-library-services/library-access-policy.md,Library Access and Services Policy,https://policy.vinuni.edu.vn/all-policies/library-policies-for-users/,2026-08-03,POL-LLR-001-V4.0,public-source
library-borrowing-privilege,data/university-academic-library-services/library-borrowing-privilege.md,Library Borrowing Privilege,https://library.vinuni.edu.vn/borrowing-priviledge/,2026-08-03,not-stated,public-source
library-circulation,data/university-academic-library-services/library-circulation.md,Circulation - Borrow Renew Return,https://library.vinuni.edu.vn/borrow-renew-return/,2026-08-03,not-stated,public-source
library-graduate-faculty,data/university-academic-library-services/library-graduate-faculty.md,Library Services for Graduate Students Faculty and Instructors,https://library.vinuni.edu.vn/services/borrow-and-request/graduate-faculty-and-instructors/,2026-08-03,not-stated,public-source
library-hours-access,data/university-academic-library-services/library-hours-access.md,Library Hours and Access,https://library.vinuni.edu.vn/about-us/hours-and-access/,2026-08-03,not-stated,public-source
policy-academic-regulations,data/university-academic-library-services/policy-academic-regulations.md,Academic Regulations for Full-Time Undergraduate Programs,https://policy.vinuni.edu.vn/all-policies/academic-regulations-for-full-time-undergraduate-programs/,2026-08-03,VU_HT03,public-source
registrar-course-registration,data/university-academic-library-services/registrar-course-registration.md,Class Schedule and Course Registration,https://registrar.vinuni.edu.vn/academics/class-schedule-course-registration/,2026-08-03,not-stated,public-source
registrar-exams-grades,data/university-academic-library-services/registrar-exams-grades.md,Exams and Grades,https://registrar.vinuni.edu.vn/academics/exams-grades/,2026-08-03,not-stated,public-source
